LinkItemsToUMLSCUIID	ItemPTR	CUI	ItemToUMLSCUILinkTypePTR
697	4015	C0013362	0
10719	4015	C0234517	0
34581	4015	C4553903	0
698	4016	C0476254	0
699	4017	C0013390	0
700	4021	C0013394	0
9909	4021	C1384606	0
12975	4021	C0423742	0
34620	4021	C4553423	0
701	4024	C0003537	0
10264	4024	C0973461	0
34582	4024	C4553954	0
702	4025	C0013418	0
11874	4025	C0269817	0
12364	4025	C0152156	0
703	4028	C0271073	0
704	4030	C0022972	0
705	4033	C0019104	0
706	4039	C0013481	0
707	4046	C0428965	0
8816	4048	C0152069	0
6833	4048	C0322178	0
710	4064	C0013516	0
711	4065	C0013534	0
712	4068	C0013537	0
713	4089	C0032987	0
5760	4089	C0032994	0
714	4108	C0013592	0
715	4113	C0011615	0
13009	4113	C2242769	0
34570	4125	C2919842	0
717	4131	C0013720	0
718	4143	C0013743	0
720	4153	C0269439	0
11903	4153	C0392535	0
15627	4153	C1704300	0
9407	4159	C0013781	0
9408	4159	C0006436	0
11731	4159	C1556061	0
723	4164	C0013819	0
724	4166	C0340861	0
726	4171	C0013855	0
727	4172	C0013902	0
729	4190	C0034067	0
730	4200	C0014013	0
731	4206	C0014025	0
13293	4206	C0700452	0
